"","sacwt","batch16","tibia","edl","soleus","testis","abnormal.bmd"
"45233",44.1,0,18.46,12.9,10.4,0.2141,0
"45234",43.7,0,19.13,13.5,10.9,0.2034,NA
"45235",38.9,0,18.39,11.7,10.8,0.2061,0
"45236",43.5,0,18.81,15.6,9.1,0.2048,1
"45258",38.6,0,18.18,10.7,7.2,0.1913,1
"45259",36.2,0,18.42,10.8,8.2,0.1903,0
"45260",37.5,0,18.32,11.8,9.7,0.1995,NA
"45261",36.3,0,18.31,12.9,9.5,0.1789,0
"45262",48.7,0,19.67,15.5,13.4,0.1879,0
"45264",37.4,0,18.1,11.3,8.6,0.1919,1
"45265",36.3,0,17.61,11.7,10.4,0.1696,0
"45266",35,0,18.23,11.4,8.4,0.171,0
"45267",36.3,0,17.88,11.3,9,0.1571,0
"45268",42.6,0,18.21,12.7,8.5,0.177,1
"45269",39.1,0,17.54,11.9,9.4,0.1833,0
"45271",36,0,17.7,11.9,7.5,0.1888,0
"45272",42.2,0,18.66,14,11.9,0.1999,0
"45273",37.6,0,18.52,11.8,9.8,0.1579,0
"45274",37.6,0,18.22,11.9,9.5,0.1789,0
"45275",41.2,0,18.5,11.2,9.4,0.1763,0
"45276",36.1,0,18.52,12.5,9.5,0.1877,NA
"45277",35.8,0,18.26,12.4,8.2,0.1667,0
"45278",38.5,0,18.39,11.9,8,0.1981,0
"45279",37.8,0,18.66,11.9,11.2,0.191,0
"45280",36.5,0,18.54,12.9,8.9,0.1586,1
"45281",34.4,0,17.77,11.5,8,0.15,0
"45282",38.3,0,18.6,13.7,9.1,0.2081,0
"45283",33,0,17.89,13,8.8,0.1854,0
"45284",43.2,0,18.53,12.9,11.3,0.2333,0
"45285",34.4,0,18.32,11.2,8.4,0.2222,0
"45286",34,0,18.1,NA,8.3,0.1818,0
"45287",47.5,0,18.56,13.7,10.8,0.1912,0
"45288",32.9,0,18.01,10.9,9.3,0.1806,0
"45289",44,0,18.67,12.2,9.6,0.2146,0
"45290",37.5,0,18.78,12.2,11.2,0.1904,0
"45291",45,0,18.7,13.6,NA,0.1845,0
"45292",33.2,0,18.1,11.6,6.3,0.1785,1
"45293",35,0,17.6,12.2,8.4,0.1568,0
"45295",28.8,0,17.86,9.7,6.7,0.1985,0
"45296",46.5,0,18.62,11.9,10.6,0.1998,1
"45297",38.6,0,18.78,12.5,9.8,0.1853,0
"45298",39,0,18.48,12.7,11.1,0.1726,0
"45299",32.3,0,17.56,12.2,7.2,0.2095,0
"45300",44.7,0,19.05,13.9,11,0.2025,0
"45412",35.2,0,18.06,12.1,10.6,0.1483,0
"45413",41.5,0,18.6,11.5,9.3,0.2064,1
"45414",42.9,0,18.84,12.4,9.5,0.1983,0
"45415",54,0,19.02,13.1,10.8,0.1784,0
"45649",34.6,1,18.6,11.1,7.8,0.1849,0
"45650",37.3,1,18,11.6,7.9,0.2189,0
"45651",40.4,1,18.66,11.4,10.3,0.1683,0
"45652",32.7,1,18.35,10.9,7.4,0.1842,1
"45654",35.1,1,18.37,11.1,8.2,0.2011,0
"45655",32,1,NA,NA,NA,0.1765,NA
"45656",34.5,1,17.67,10.5,9.9,0.1943,NA
"45658",29.4,1,17.44,10,8,0.1768,1
"45660",39.7,1,18.86,14.2,9.4,0.2093,0
"45661",44,1,17.83,11.5,7.7,0.1955,1
"45664",45.1,1,18.36,NA,10.6,0.1916,0
"45665",41.1,1,18,12.7,8.9,0.1838,1
"45666",39.8,1,18.59,12.6,10.1,0.1913,1
"45667",42.5,1,17.87,13.1,9.3,0.1809,1
"45668",33.9,1,17.79,11,7.3,0.1782,1
"45670",37.9,1,18.22,12.3,8.5,0.2158,1
"45671",36.1,1,18.17,13.4,8,0.1497,NA
"45672",34.7,1,18.29,12,7.8,0.1985,NA
"45673",29.9,1,17.68,9.4,7,0.186,1
"45674",29.4,1,17.45,12.4,6.9,0.2013,0
"45675",31.7,1,16.99,11.8,8.3,0.1778,0
"45676",36.1,1,17.74,10.4,9.2,0.2012,1
"45677",38.1,1,18.54,12.7,7.3,0.2116,0
"45678",37.1,1,18.26,13.8,9.8,0.1885,0
"45679",36.1,1,18.43,13,10.3,0.1795,1
"45680",34.1,1,17.96,13.3,7.4,0.1952,0
"45681",33.9,1,18.5,11.8,8.5,0.1762,0
"45682",38.4,1,18.08,11.8,8.3,0.1738,0
"45683",34.2,1,18.34,13.1,9.5,0.1694,1
"45684",37.4,1,18.65,12.6,9.4,0.1568,1
"45685",42.4,1,17.92,10.7,8.1,0.1781,1
"45686",38.1,1,18.94,NA,9.9,0.1853,1
"45687",37.9,1,17.71,13.3,8.8,0.1811,1
"45688",31,1,17.39,9.5,7.1,0.1808,1
"45689",35.8,1,17.95,10.3,6.7,0.1831,0
"45690",37.2,1,18.65,10.8,10.6,0.1813,0
"45691",33.9,1,18.4,11.3,8.8,0.2243,NA
"45692",31,1,17.57,10.7,6.2,0.1622,1
"45693",33.2,1,17.59,11.2,7.8,0.2168,0
"45694",31.2,1,18.17,12.1,7,0.1327,1
"45696",33.3,1,NA,NA,NA,0.2159,1
"45823",44.3,0,18.85,16.1,10.1,0.1956,0
"45824",51.3,0,18.98,14.2,10.3,0.1942,0
"45825",34.6,0,18.14,10.2,8.6,0.1418,0
"45826",41.6,0,18.91,NA,11.1,0.1876,0
"45827",42.8,0,18.69,13.1,9.9,0.2029,0
"45829",38.5,0,18.42,10.7,8.9,0.1675,0
"45830",39.7,0,18.2,11.6,10.4,0.1934,0
"45831",53.4,0,19.29,15.6,11.1,0.2048,0
"45833",38.2,0,18.46,12.4,9.6,0.201,0
"45835",40,0,18.17,11.7,8.6,0.1843,0
"45836",40.5,0,17.99,13.2,10.5,0.1763,0
"45837",39.9,0,18.19,15,9,0.2212,1
"45838",47.9,0,18.06,12.7,10.7,0.1574,0
"45839",38,0,18.82,13.7,9.6,0.135,0
"45840",44.5,0,18.39,12.2,9.5,0.2075,NA
"45841",44.3,0,18.78,13.6,10,0.1938,0
"45842",37.1,0,18.71,12.1,8.2,0.1677,0
"45845",42,0,18.74,15.2,11.5,0.2102,0
"45846",44.6,0,18.03,12.2,7.8,0.2029,0
"45847",39,0,18.42,12.1,9.1,0.2203,0
"45848",39.7,0,18.02,11.7,7.2,0.1959,0
"45849",42.2,0,18.28,11.9,7.7,0.1903,0
"45850",47.7,0,18.49,14.8,10.4,0.1678,0
"45851",41.6,0,18.25,11.9,9.3,0.2044,0
"45852",43.2,0,18.55,14.4,9.6,0.1851,0
"45853",36.5,0,18.53,12.2,11.1,0.2033,0
"45855",49.4,0,19.26,13.9,10.7,0.2339,0
"45856",49.3,0,19.02,13.4,12.2,0.1866,0
"45857",40.8,0,18.95,14.4,9,0.215,0
"45858",47.2,0,18.44,13.3,9.9,0.2282,NA
"45859",45.4,0,18.56,12.9,9.8,0.1925,0
"45860",48.5,0,18.51,14.4,11,0.2165,1
"45861",41.2,0,18.67,12.5,8.6,0.1833,0
"45862",47.7,0,18.27,12.3,8.9,0.1698,0
"45863",51,0,19.47,NA,12.3,0.2022,0
"45864",39.7,0,18.41,12.9,9.1,0.2151,0
"45865",38.8,0,18.79,13.4,12.1,0.1962,0
"45867",40,0,18.43,12.6,9.2,0.2109,0
"45868",43.7,0,18.33,12.5,8.6,0.1827,0
"45869",45.2,0,19.01,15.6,9.4,0.1821,1
"45870",42.9,0,18.1,12,9.7,0.2168,0
"46227",39.3,0,18.61,13.5,9.3,0.1869,0
"46228",35.9,0,18.37,13.8,9.1,0.1903,0
"46229",39,0,18.03,11.2,9.2,0.1819,0
"46230",28.9,0,17.92,10.1,7.4,0.1737,NA
"46232",31.5,0,16.92,10.8,7.3,0.1312,0
"46233",34.7,0,18.32,12.2,9.1,0.186,0
"46234",37.9,0,18.64,11.6,8.3,0.1925,0
"46236",33.3,0,17.95,11.8,7.7,0.1835,0
"46237",38.1,0,18.92,13.9,10.7,0.1749,0
"46238",35.4,0,18.18,11.9,8.9,0.2153,0
"46239",36.3,0,17.98,10.5,8.8,0.1696,0
"46241",36.1,0,18.23,11.6,9.5,0.1845,0
"46242",31.3,0,17.65,11.2,9.4,0.1638,1
"46243",36.3,0,17.67,12.8,9.3,NA,0
"46244",33.9,0,17.73,10.3,6.7,NA,0
"46245",40.6,0,18.62,13.2,8.7,0.1949,1
"46246",33.7,0,18.09,11.1,10,0.2061,0
"46247",36.1,0,17.87,11.8,9.8,0.1588,0
"46248",36,0,17.74,11.4,9.1,0.1987,0
"46249",36.2,0,17.91,12.1,8.2,0.1765,1
"46250",41,0,18.51,12.2,8.1,0.1691,0
"46261",42.7,0,19.22,11.7,9.2,0.1832,0
"46262",31.3,0,17.72,12.1,7.4,0.2109,0
"46264",36.6,0,18.43,12.3,9,0.1818,0
"46265",33.3,0,18.37,11.4,8.8,0.1732,0
"46266",29.2,0,17.67,10.2,8,0.1463,0
"46267",35.8,0,17.7,10.3,8.9,0.2171,0
"46268",38,0,17.88,12.8,9.2,0.2034,0
"46269",36.1,0,18.77,13.5,10.8,0.2064,0
"46270",37.1,0,18.55,14.7,11.5,0.1867,0
"46271",37.8,0,18.48,12.1,10.5,0.172,0
"46272",34,0,18.95,11.3,12,0.2092,0
"46273",33.9,0,18.13,12.1,9.9,0.1803,0
"46274",37.9,0,18.31,12.3,8.3,0.19,0
"46275",35.7,0,18.34,13.6,9.7,0.1309,1
"46276",39,0,18.79,11.4,10,0.2155,1
"46277",35.4,0,18.23,14,8.6,0.2047,0
"46278",38.9,0,17.63,12,8,0.1753,0
"46280",35.6,0,17.95,11.5,10.7,0.1621,0
"46281",44.2,0,17.81,11.4,9.2,0.1616,1
"46282",49.8,0,18.43,14.4,11.8,0.1543,0
"46283",41.5,0,18.48,14.3,10.2,0.1782,0
"46760",39.8,0,18.19,11.6,9.1,0.1953,0
"46761",38.5,0,18.84,12.5,8.9,0.1601,1
"46762",37,0,17.76,11,8.1,0.2198,0
"46763",32.5,0,18.32,10.7,8.5,0.1622,0
"46764",40.7,0,18.64,14.6,10.3,0.1771,0
"46766",35.3,0,18.06,12.9,10.4,0.1771,0
"46767",40,0,18.07,10.4,8.5,0.1155,0
"46768",36.2,0,18.57,13.4,10.7,0.1568,1
"46769",33.2,0,18.06,11.9,11.2,0.205,1
"46770",40.3,0,18.56,12.5,8.3,0.1894,0
"46771",34.1,0,18.55,11.9,9.3,0.1678,1
"46774",37.3,0,17.65,12.1,9.6,0.2149,0
"46775",38.9,0,18.44,13.1,10.2,0.1716,0
"46776",35.4,0,18.41,10.1,7.5,0.2089,0
"46777",41.9,0,18.62,13.5,11.4,0.1862,1
"46778",44.9,0,18.92,14.5,11.5,0.2003,0
"46780",28.5,0,18.25,9.9,9.5,0.2402,0
"46781",33,0,18.67,11.4,7.8,0.1625,0
"46782",33.6,0,17.73,9.4,9.1,0.195,0
"46783",37.8,0,17.95,10.9,9.3,0.1675,0
"46784",46.1,0,19.35,13.4,12.5,0.1977,0
"46785",36.7,0,18.35,9.5,7.8,0.1878,0
"46786",42,0,18.28,10.2,8,0.1817,0
"46787",37.2,0,18.43,12.5,8.6,0.2163,0
"46788",39.8,0,17.96,10.8,9,0.1332,0
"46789",37.3,0,17.98,11.5,9.2,0.1802,0
"46790",34,0,18.32,11,10.2,0.184,0
"46791",51.9,0,19.06,13.6,12.5,0.1882,0
"46792",32.1,0,NA,NA,NA,0.1839,0
"46794",33.9,0,18.12,10.7,7.9,0.1824,0
"46795",26.6,0,17.89,8.4,7.6,NA,0
"46796",42.2,0,18.24,14.8,7.8,0.2099,0
"46797",36.2,0,19.07,14,9.2,0.1237,0
"46798",35.2,0,NA,NA,NA,0.1842,0
"46799",37.4,0,18.65,12.8,9.5,0.2045,0
"46800",41.1,0,18.47,12.7,11.2,0.1861,0
"46801",33.8,0,17.76,10.6,7.8,0.1863,0
"46802",36.9,0,18.3,13.4,8.9,0.1841,1
"46803",35.6,0,17.99,13.2,8.4,0.1581,1
"46805",39.9,0,18.9,13.1,9.1,0.1645,0
"46806",36.3,0,18.66,12.3,9.7,0.1688,0
"46807",41.1,0,18.32,11.9,7.5,0.1809,0
"46808",36.8,0,18.58,12.5,9.4,0.1642,0
"46809",41.3,0,18.66,13.3,11,0.1686,0
"46810",41.5,0,18.61,12.2,9.7,0.1985,0
"46811",51.1,0,18.9,14,9.3,0.1617,1
"46812",36.4,0,18.52,10.8,8.8,0.1736,0
"46813",40.8,0,18.61,12.4,11.3,0.1894,1
"46814",44.8,0,18.72,12.3,10.6,0.2065,0
"46815",35,0,17.83,11.7,9.9,0.1743,1
"46816",37.7,0,18.04,11.8,8.5,0.1881,1
"46817",43.2,0,18.53,11.9,9,0.1996,0
"46818",43,0,18.53,14.1,NA,0.1925,1
"46819",42.3,0,19.01,14.7,11.1,0.1545,0
"46820",43,0,18.71,12.5,10,0.2065,0
"46821",39.5,0,19.03,12.6,9.7,0.197,0
"46822",34.4,0,17.77,10.7,8.5,0.1633,0
"46823",37.9,0,18.67,12.5,8.1,0.1998,0
"46824",39.1,0,18.14,11.7,9.8,0.1595,0
"46825",33,0,17.98,12.5,9.4,0.221,0
"46826",39.1,0,NA,NA,NA,0.1833,0
"46827",34.9,0,18.25,12.6,8.8,0.2119,1
"46828",36.2,0,17.8,10.5,7.9,0.1781,0
"46829",42.9,0,18.66,13.6,10.5,0.198,1
"46830",40.8,0,18.46,11.2,9.5,0.1801,0
"46832",45.3,0,18.84,14.5,10.5,0.1487,0
"46833",40.9,0,18.64,13.7,7.7,0.1915,1
"46834",45.3,0,18.65,13.4,NA,0.1863,1
"46835",36.5,0,18.43,14.6,9.4,0.2036,0
"46836",34.7,0,17.95,11.8,6.9,0.1942,0
"46837",46.5,0,19.63,14.1,NA,0.1869,1
"46838",38.7,0,18.88,12.1,12.7,0.1799,1
"46839",33,0,18.59,11.9,10.2,0.1712,0
"46840",34.8,0,18.34,12.7,10.1,0.2113,0
"46841",32.1,0,17.96,9.7,8.3,0.1713,0
"46842",36.1,0,18.33,12.5,10.6,0.1669,0
"46843",34.5,0,17.96,12.7,9.5,0.1672,0
"46845",37.2,0,18.68,11.2,8.2,0.1527,0
"46846",46.7,0,19.17,14,14,0.2034,NA
"46847",36.2,0,17.68,12,9.4,0.1567,0
"46848",35.1,0,18.65,14.2,8.8,0.1792,0
"46849",42.3,0,19.35,14.2,9.8,0.2099,0
"46861",38.5,0,NA,NA,NA,0.2176,0
"46862",35.5,0,18.38,12.1,10.5,0.1675,0
"46863",36.8,0,18.39,10.7,7.8,0.1573,0
"46864",41.2,0,18.04,12.9,8.1,0.166,1
"46865",36.5,0,18.52,12.7,9.2,0.1924,1
"46866",38.2,0,17.94,13,9.8,0.153,0
"46867",40.7,0,18.7,11,8.6,0.2025,0
"46868",38.3,0,18.3,12,8.3,0.2011,0
"46876",42.7,0,18.51,13.3,8.5,0.1739,0
"46878",32.3,0,18.2,10.8,9.2,0.2025,0
"46879",36.3,0,18.39,13.3,9.9,0.1788,0
"46880",37.4,0,18.95,12.2,10.3,0.1988,0
"46881",36.5,0,19.02,14.2,12,0.1593,0
"46882",30.7,0,17.44,9.8,8.6,0.1466,0
"46883",44.3,0,17.63,11.3,9.9,0.167,1
"46884",36.9,0,18.87,12.5,10.3,0.1761,0
"46886",40.5,0,18.52,12.6,13,0.1596,0
"46887",35,0,NA,12.7,8.4,0.1655,0
"46889",38.7,0,17.68,11.7,9.3,0.1953,1
"46890",35.3,0,NA,9.9,9.4,0.1485,0
"46891",34.4,0,18.37,13.5,8.3,0.1475,0
"46892",35.3,0,17.93,11.5,7.8,0.1669,0
"46893",38.5,0,18.35,9.9,8.1,0.204,0
"46895",36.1,0,17.54,12.6,11.9,0.1741,0
"46896",47.1,0,18.72,12.1,9.1,0.1808,0
"46897",39.8,0,18.35,11.4,9.9,0.1899,0
"46898",36.9,0,17.45,10.1,8.5,0.1979,0
"47002",32.9,0,18.7,16.2,13.3,0.176,0
"47003",43.8,0,19.48,13.5,7.2,0.2045,0
"47004",33.2,0,18.25,12.6,7.6,0.1277,0
"47005",37.9,0,18.44,10.8,8.4,0.2031,0
"47006",32.2,0,17.81,11.1,7.7,0.1737,0
"47008",36.6,0,19.12,12,8.1,0.1815,0
"47009",30.4,0,18.94,NA,11.4,0.2028,0
"47010",40.2,0,18.06,11.3,11.5,0.1793,0
"47011",44.3,0,18.47,10.5,8.8,0.227,0
"47012",42.8,0,19.23,13.7,11.3,0.1754,0
"47013",43.6,0,18.74,12.4,9.4,0.2092,0
"47014",30.9,0,17.96,11.5,7.1,0.1326,1
"47015",36.9,0,18.58,15,NA,0.2137,0
"47016",31.5,0,17.9,12.1,9.5,0.1806,0
"47017",34.3,0,18.01,11.5,8.1,0.1829,0
"47018",25.6,0,17.26,11.1,7.1,0.1367,0
"47019",33,0,18.97,13.6,12.6,0.1904,0
"47020",32.1,0,18.7,11.1,NA,0.1777,0
"47021",38.1,0,18.51,12.8,9.5,0.1728,0
"47022",40.5,0,NA,11.8,7.2,0.1958,1
"47023",38.5,0,18.67,11.9,9.8,0.189,0
"47024",34,0,18.66,11.2,7.8,0.2031,0
"47025",39.8,0,17.93,11,6.9,0.1836,0
"47026",32.2,0,19.07,NA,10.6,0.1705,0
"47027",48.3,0,19.31,14.4,11,0.1596,0
"47028",39.6,0,NA,NA,NA,0.1395,1
"47029",41.5,0,18.26,12.9,NA,0.1409,0
"47030",42.7,0,18.97,13.2,9.1,0.1948,1
"47032",40.8,0,18.25,11.3,8.9,0.248,0
"47033",43.1,0,18.48,13.1,10.6,0.2045,0
"47034",45.1,0,19.48,14.8,11.5,0.17,0
"47035",46,0,18.82,13.6,10.3,0.1939,0
"47036",46.9,0,18.67,NA,11.5,0.1722,1
"47038",40.3,0,18.07,13.6,11.1,0.1968,0
"47039",39,0,18.5,12.4,11.3,0.2166,0
"47040",49.2,0,19.2,14.7,11,0.2104,0
"47041",37.3,0,18.18,11.3,10.9,0.1779,0
"47042",38.1,0,19,12.5,9.7,0.1797,0
"47044",40.3,0,18.15,11.4,8.6,0.1997,1
"47045",35,0,18.86,13.2,7.7,0.1796,0
"47046",43,0,19.49,13.8,10.5,0.1552,0
"47047",39.5,0,18.77,13.1,9.1,0.1846,0
"47048",35.9,0,18.04,10.4,8.4,0.144,0
"47049",43.1,0,19.14,12.9,9.9,0.1804,0
"47050",33.4,0,18.22,10.3,9.8,0.1935,0
"47051",32.6,0,17.71,10.3,7.3,0.1645,0
"47052",40.1,0,18.51,14,11.1,0.1538,0
"47053",40.8,0,18.4,11.4,10,0.1564,0
"47054",35.6,0,18.24,13.8,10.4,0.2196,0
"47055",39.9,0,18.17,11.7,9.3,0.1712,0
"47056",48.1,0,18.77,13.2,10.9,0.2194,1
"47057",29.9,0,18.72,NA,9.7,0.2285,0
"47058",38.1,0,18.46,12.3,10.3,0.1739,0
"47059",43.3,0,18.86,13.9,9.9,0.197,0
"47060",36.3,0,17.77,11.6,10.2,0.1635,0
"47061",37.2,0,18.34,12.9,9.9,0.1715,0
"47062",45,0,18.68,15.6,13.6,0.2211,0
"47063",48.4,0,18.66,13.3,11.1,0.2075,0
"47064",46.3,0,18.69,16.3,NA,0.1758,0
"47065",42.6,0,18.55,13.3,NA,0.1689,0
"47066",39,0,18.55,12.2,11.3,0.1857,1
"47067",37.4,0,18.2,11.5,8.5,0.1999,0
"47068",37.8,0,18.44,13.9,7.7,0.2011,0
"47069",43.8,0,18.92,13.1,10.2,0.1894,0
"47071",38.9,0,18.53,10.6,10.8,0.1785,0
"47072",41,0,18.44,14.1,7.4,0.2041,0
"47073",43.8,0,18.44,13.2,8.9,0.1623,0
